,country,resort,hotel,price,distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm)
394,france,val-thorens,hotel-le-val-thorens,1934,unknown,2300,600,183,40,69,74,183.0,106.0,32.0,321.0,https://www.igluski.com/ski-resorts/france/val-thorens/hotel-le-val-thorens_1471?holidayId=58204288,162,98,121,215,267,207,269
395,austria,ischgl,hotel-madlein,1942,unknown,1400,230,48,9,27,12,23.0,60.0,15.0,98.0,https://www.igluski.com/ski-resorts/austria/ischgl/hotel-madlein_1886?holidayId=58429032,148,20,70,50,120,63,131
396,finland,saariselka,star-arctic-hotel,1989,unknown,180,20,5,0,1,4,3.0,7.0,2.0,12.0,https://www.igluski.com/ski-resorts/finland/saariselka/star-arctic-hotel_36553?holidayId=51658846,80,unknown,unknown,unknown,unknown,unknown,unknown
397,austria,solden,hotel-central,1995,unknown,1350,146,33,8,16,9,20.0,12.0,8.0,40.0,https://www.igluski.com/ski-resorts/austria/solden/hotel-central_37661?holidayId=58203828,unknown,5,263,15,306,15,362
398,finland,levi,design-hotel-levi,2019,unknown,200,44,27,2,2,14,19.0,22.0,2.0,43.0,https://www.igluski.com/ski-resorts/finland/levi/design-hotel-levi_37025?holidayId=51660694,unknown,35,45,65,75,90,115
399,france,meribel,hotel-la-chaudanne,2025,50,1450,600,183,40,69,74,186.0,107.0,35.0,328.0,https://www.igluski.com/ski-resorts/france/meribel/hotel-la-chaudanne_32842?holidayId=58201277,unknown,98,121,215,267,207,269
400,france,tignes-le-lac,village-montana-suites,2092,50,2100,300,89,10,45,34,83.0,46.0,25.0,154.0,https://www.igluski.com/ski-resorts/france/tignes-le-lac/village-montana-suites_6122?holidayId=58210666,164,unknown,unknown,unknown,unknown,unknown,unknown
401,austria,obergurgl,hotel-hochfirst,2128,100,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-hochfirst_1381?holidayId=58203936,180,100,185,69,143,60,133
402,france,val-thorens,hotel-fitz-roy,2216,unknown,2300,600,183,40,69,74,183.0,106.0,32.0,321.0,https://www.igluski.com/ski-resorts/france/val-thorens/hotel-fitz-roy_32837?holidayId=58208710,112,98,121,215,267,207,269
403,austria,ischgl,hotel-fliana,2258,unknown,1400,230,48,9,27,12,23.0,60.0,15.0,98.0,https://www.igluski.com/ski-resorts/austria/ischgl/hotel-fliana_27625?holidayId=58210115,30,20,70,50,120,63,131
404,austria,ischgl,hotel-elisabeth,2420,unknown,1400,230,48,9,27,12,23.0,60.0,15.0,98.0,https://www.igluski.com/ski-resorts/austria/ischgl/hotel-elisabeth_2085?holidayId=58208465,110,20,70,50,120,63,131
405,austria,ischgl,hotel-trofana-royal,2484,unknown,1400,230,48,9,27,12,23.0,60.0,15.0,98.0,https://www.igluski.com/ski-resorts/austria/ischgl/hotel-trofana-royal_27361?holidayId=58207202,164,20,70,50,120,63,131
406,austria,hinterglemm,hotel-alpine-palace,2517,20,1003,200,54,15,16,23,32.0,27.0,5.0,64.0,https://www.igluski.com/ski-resorts/austria/hinterglemm/hotel-alpine-palace_27264?holidayId=58208805,262,5,50,50,133,46,140
